experiment_id,template,template_purpose,dataset,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,582,what was the initial effect of the transition from command to market economies in eastern europe,what was the initial effect of the transition from command to market economies in eastern europe?,Inequality of opportunity,increased income levels,0.0,0.0,0.0,3,2025-07-11T15:34:54.028050
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,583,when did toyota start making cars in the us,when did toyota start making cars in the us?,by the early 1980s,in november 2016,0.0,0.0,0.0,3,2025-07-11T15:34:54.652100
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,584,how many pieces in a terry's chocolate orange,how many pieces in a terry's chocolate orange?,six,20,0.0,0.0,0.0,1,2025-07-11T15:34:54.943521
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,585,who plays the saint of killers on preacher,who plays the saint of killers on preacher?,Graham McTavish,graham mctavish,1.0,1.0,1.0,2,2025-07-11T15:34:55.438302
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,586,when did the royal proclamation of 1763 end,when did the royal proclamation of 1763 end?,the American Revolutionary War,1763,0.0,0.0,0.0,1,2025-07-11T15:34:55.918870
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,587,who is playing the halftime show at super bowl 2016,who is playing the halftime show at super bowl 2016?,Beyoncé,lady gaga,0.0,0.0,0.0,2,2025-07-11T15:34:56.137457
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,588,jonny cash one piece at a time car,jonny cash one piece at a time car?,Cadillac,in a jonny cash,0.0,0.0,0.0,4,2025-07-11T15:34:56.646471
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,589,what is the minimum wage in france per hour,what is the minimum wage in france per hour?,11.16,€ 8.86 per hour,0.0,0.0,0.0,4,2025-07-11T15:34:57.379047
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,590,describe the three phases of the normal blood clotting process,describe the three phases of the normal blood clotting process?,blood coagulation,effector,0.0,0.0,0.0,1,2025-07-11T15:34:58.128165
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,591,when did amnesia the dark descent come out,when did amnesia the dark descent come out?,8 September 2010,2010,0.0,0.5,0.3333333333333333,1,2025-07-11T15:34:58.621543
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,592,what is the oldest street in the philippines,what is the oldest street in the philippines?,Cebu City,colon street,0.0,0.0,0.0,2,2025-07-11T15:34:59.105476
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,593,where is the tibia and fibula bone located,where is the tibia and fibula bone located?,leg,below the knee,0.0,0.0,0.0,3,2025-07-11T15:34:59.331340
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,594,who played bat masterson in the tv series,who played bat masterson in the tv series?,Gene Barry,gene barry,1.0,1.0,1.0,2,2025-07-11T15:34:59.649141
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,595,who sings sugar sugar you are my candy girl,who sings sugar sugar you are my candy girl?,the Archies,mandy moore,0.0,0.0,0.0,2,2025-07-11T15:35:00.161160
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,596,types of skiing in the winter olympics 2018,types of skiing in the winter olympics 2018?,Slalom,alpine skiing,0.0,0.0,0.0,2,2025-07-11T15:35:00.498236
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,597,who plays noah newman on the young and the restless,who plays noah newman on the young and the restless?,Robert Gillespie Adamson IV,robert gillespie adamson iv,1.0,1.0,1.0,4,2025-07-11T15:35:00.783346
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,598,who has won the most games in nfl 2017,who has won the most games in nfl 2017?,Dallas Cowboys,chicago bears,0.0,0.0,0.0,2,2025-07-11T15:35:01.654707
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,599,under article 1 what is the minimum age required to serve in the house of representatives,under article 1 what is the minimum age required to serve in the house of representatives?,25,25,1.0,1.0,1.0,1,2025-07-11T15:35:02.369626
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,600,who has the most catches in nfl history,who has the most catches in nfl history?,Jerry Rice,jerry rice,1.0,1.0,1.0,2,2025-07-11T15:35:02.730953
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,601,when does the dlc for rainbow six siege come out,when does the dlc for rainbow six siege come out?,January 2018,"may 25, 2018",0.0,0.4,0.5,3,2025-07-11T15:35:03.061696
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,602,who was the great wall of china built to defend against,who was the great wall of china built to defend against?,nomads from Inner Asia,qin dynasty,0.0,0.0,0.0,2,2025-07-11T15:35:03.616484
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,603,where does the last name galvez come from,where does the last name galvez come from?,Spanish surname,spanish,0.0,0.6666666666666666,0.5,1,2025-07-11T15:35:03.867738
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,604,who opens the church of the holy sepulchre,who opens the church of the holy sepulchre?,the Sunni Muslim family,no one,0.0,0.0,0.0,2,2025-07-11T15:35:04.058610
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,605,when does season 5 of the blacklist resume,when does season 5 of the blacklist resume?,"January 31, 2018","may 16, 2018",0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T15:35:04.359117
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,606,the chinese dragons are protectors of how many seas diggy,the chinese dragons are protectors of how many seas diggy?,Four Seas,six,0.0,0.0,0.0,1,2025-07-11T15:35:04.719313
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,607,how much money did it cost to make gta v,how much money did it cost to make gta v?,137,$200 million,0.0,0.0,0.0,2,2025-07-11T15:35:05.473946
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,608,what is the angle of the tower of pisa,what is the angle of the tower of pisa?,about 3.99 degrees,3.99 degrees,0.0,0.8,0.6666666666666666,2,2025-07-11T15:35:06.156578
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,609,what is the share of agriculture in indian economy,what is the share of agriculture in indian economy?,17.32%,23 %,0.0,0.0,0.0,2,2025-07-11T15:35:06.939853
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,610,who does demetrius love in a midsummer night dream,who does demetrius love in a midsummer night dream?,Helena,hermia,0.0,0.0,0.0,1,2025-07-11T15:35:07.388542
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,611,when did the movie varsity blues come out,when did the movie varsity blues come out?,1999,1999,1.0,1.0,1.0,1,2025-07-11T15:35:07.575262
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,612,when does the champions league quarter finals start,when does the champions league quarter finals start?,16 March 2018,"may 22, 2018",0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T15:35:07.775395
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,613,who was the famous scientist that ran the research lab moseley went to in manchester,who was the famous scientist that ran the research lab moseley went to in manchester?,Sir Ernest Rutherford,,0.0,0.0,0.0,0,2025-07-11T15:35:08.100014
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,614,where do you get a cashiers check from,where do you get a cashiers check from?,a bank,bank,0.0,0.6666666666666666,0.5,1,2025-07-11T15:35:08.279300
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,615,who does stefan marry in the vampire diaries,who does stefan marry in the vampire diaries?,Caroline Forbes,elena,0.0,0.0,0.0,1,2025-07-11T15:35:08.711750
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,616,what is the meaning of cc and bcc,what is the meaning of cc and bcc?,Carbon copy,business council of canada,0.0,0.0,0.0,4,2025-07-11T15:35:09.090561
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,617,hazels boyfriend in the fault in our stars,hazels boyfriend in the fault in our stars?,Augustus Waters,warren,0.0,0.0,0.0,1,2025-07-11T15:35:09.514251
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,618,when does the day of the dead end,when does the day of the dead end?,November 2,halloween,0.0,0.0,0.0,1,2025-07-11T15:35:10.406385
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,619,when do you celebrate birthday if born on feb 29,when do you celebrate birthday if born on feb 29?,February 29,2018,0.0,0.0,0.0,1,2025-07-11T15:35:10.911143
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,620,where does new york drinking water come from,where does new york drinking water come from?,the eastern Catskill Mountains,new croton aqueduct,0.0,0.0,0.0,3,2025-07-11T15:35:11.306931
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,621,where is the citrus bowl held this year,where is the citrus bowl held this year?,Camping World Stadium,camping world stadium,1.0,1.0,1.0,3,2025-07-11T15:35:11.767266
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,622,what year does the quiet man take place,what year does the quiet man take place?,the 1920s,1920s,0.0,0.6666666666666666,0.5,1,2025-07-11T15:35:12.208000
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,623,how many seasons of rules of engagement is there,how many seasons of rules of engagement is there?,7,7,1.0,1.0,1.0,1,2025-07-11T15:35:12.376264
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,624,who plays alec ramsay in the black stallion,who plays alec ramsay in the black stallion?,Kelly Reno,richard ian cox,0.0,0.0,0.0,3,2025-07-11T15:35:12.894752
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,625,who plays dusty in the movie pure country,who plays dusty in the movie pure country?,George Strait,george strait,1.0,1.0,1.0,2,2025-07-11T15:35:13.309422
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,626,how many episodes of greys anatomy season 14,how many episodes of greys anatomy season 14?,24,24,1.0,1.0,1.0,1,2025-07-11T15:35:13.596919
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,627,who is currently serving as president of the senate,who is currently serving as president of the senate?,Orrin Hatch,orrin hatch,1.0,1.0,1.0,2,2025-07-11T15:35:14.529508
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,628,what percentage of sunlight is captured by plants to convert it into food energy,what percentage of sunlight is captured by plants to convert it into food energy?,45%,photosynthesis,0.0,0.0,0.0,1,2025-07-11T15:35:15.174384
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,629,what type of economic system was utilized in the soviet union,what type of economic system was utilized in the soviet union?,communism,communist,0.0,0.0,0.0,1,2025-07-11T15:35:15.568255
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,630,how many gold medals did australia win in the 2000 olympics,how many gold medals did australia win in the 2000 olympics?,16,4,0.0,0.0,0.0,1,2025-07-11T15:35:15.701437
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,631,who started ww2 and how did it start,who started ww2 and how did it start?,Nazi Germany,1939,0.0,0.0,0.0,1,2025-07-11T15:35:16.210085
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,632,when did the royal mint move to wales,when did the royal mint move to wales?,1968,1967,0.0,0.0,0.0,1,2025-07-11T15:35:16.594688
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,633,when did bird is the word come out,when did bird is the word come out?,1963,november 1970,0.0,0.0,0.0,2,2025-07-11T15:35:16.800577
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,634,how tall is the actor who plays hagrid in harry potter,how tall is the actor who plays hagrid in harry potter?,6ft 1in,5 ft 9 in,0.0,0.0,0.0,4,2025-07-11T15:35:17.290601
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,635,who is opening for little mix glory days tour,who is opening for little mix glory days tour?,Sheppard,ll cool j,0.0,0.0,0.0,3,2025-07-11T15:35:17.713241
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,636,who performed the first c section in 1794,who performed the first c section in 1794?,Dr. Jesse Bennett,percy sledge,0.0,0.0,0.0,2,2025-07-11T15:35:18.494808
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,637,who voices randy in f is for family,who voices randy in f is for family?,T.J. Miller,t.j. miller,1.0,1.0,1.0,2,2025-07-11T15:35:19.285184
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,638,bible verse taking the lord's name in vain,bible verse taking the lord's name in vain?,Exodus 20:7,exodus 20 : 7,0.0,0.3333333333333333,0.5,4,2025-07-11T15:35:19.788759
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,639,who controlled the house and the senate in 2012,who controlled the house and the senate in 2012?,Republican,the republicans,0.0,0.0,0.0,2,2025-07-11T15:35:20.072326
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,640,when's the last time army won the army navy game,when's the last time army won the army navy game?,2017,"december 10, 2016",0.0,0.0,0.0,3,2025-07-11T15:35:20.553271
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,641,when does thomas rhett's new album come out,when does thomas rhett's new album come out?,"September 8, 2017","september 8, 2018",0.0,0.6666666666666666,0.6666666666666666,3,2025-07-11T15:35:21.002687
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,642,who won the champions league final in 2016,who won the champions league final in 2016?,Real Madrid,real madrid,1.0,1.0,1.0,2,2025-07-11T15:35:21.204515
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,643,who is the real killer in basic instinct 2,who is the real killer in basic instinct 2?,Catherine Tramell,tramell,0.0,0.6666666666666666,0.5,1,2025-07-11T15:35:21.666794
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,644,who does the voice of mickey mouse on mickey mouse clubhouse,who does the voice of mickey mouse on mickey mouse clubhouse?,Bret Iwan,bret iwan,1.0,1.0,1.0,2,2025-07-11T15:35:22.332997
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,645,when was the last episode of vampire diaries aired,when was the last episode of vampire diaries aired?,"March 10, 2017","march 10, 2017",0.0,1.0,1.0,3,2025-07-11T15:35:23.133576
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,646,where did the dewey decimal system come from,where did the dewey decimal system come from?,Melvil Dewey,melvil dewey,1.0,1.0,1.0,2,2025-07-11T15:35:23.501210
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,647,where did the jungle book story come from,where did the jungle book story come from?,English author Rudyard Kipling,india,0.0,0.0,0.0,1,2025-07-11T15:35:23.919550
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,648,derek and meredith get back together season 3,derek and meredith get back together season 3?,Staring at the Sun,what i am,0.0,0.0,0.0,3,2025-07-11T15:35:24.335335
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,649,who did america declare war on in ww1,who did america declare war on in ww1?,Austria-Hungary,the german empire,0.0,0.0,0.0,3,2025-07-11T15:35:24.852323
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,650,who played zoe hart on hart of dixie,who played zoe hart on hart of dixie?,Rachel Sarah Bilson,rachel sarah bilson,1.0,1.0,1.0,3,2025-07-11T15:35:25.099256
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,651,what was tom hanks character name in castaway,what was tom hanks character name in castaway?,Chuck Noland,chuck noland,1.0,1.0,1.0,2,2025-07-11T15:35:25.565976
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,652,what engine is in a holden v8 supercar,what engine is in a holden v8 supercar?,V8-engine,v8,0.0,0.0,0.0,1,2025-07-11T15:35:26.017427
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,653,when did the sat become out of 1600,when did the sat become out of 1600?,March 2016,1986,0.0,0.0,0.0,1,2025-07-11T15:35:26.709074
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,654,when was the minimum wage established in the united states,when was the minimum wage established in the united states?,1938,1938,1.0,1.0,1.0,1,2025-07-11T15:35:27.509105
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,655,when did the rational dress society begin to work,when did the rational dress society begin to work?,1881,1876,0.0,0.0,0.0,1,2025-07-11T15:35:28.056864
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,656,what is the baby elephants name in jungle book,what is the baby elephants name in jungle book?,Hathi Jr.,alexander,0.0,0.0,0.0,1,2025-07-11T15:35:28.236690
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,657,where is fe best absorbed in the body,where is fe best absorbed in the body?,in the duodenum,gut,0.0,0.0,0.0,1,2025-07-11T15:35:28.596651
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,658,who is the biggest selling female group of all time,who is the biggest selling female group of all time?,Spice Girls,spice girls,1.0,1.0,1.0,2,2025-07-11T15:35:29.075574
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,659,epidemiologists attempt to explain the link between health and variables such as,epidemiologists attempt to explain the link between health and variables such as?,biological agents,causal factors,0.0,0.0,0.0,2,2025-07-11T15:35:29.359476
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,660,who won the mens single ice skating 2018,who won the mens single ice skating 2018?,Yuzuru Hanyu,yuzuru hanyu,1.0,1.0,1.0,2,2025-07-11T15:35:29.851591
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,661,where is the boy who played charlie in willy wonka,where is the boy who played charlie in willy wonka?,Peter Gardner[4] Ostrum,peter gardner ostrum,0.0,0.6666666666666666,0.6666666666666666,3,2025-07-11T15:35:30.724229
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,662,where was the first session of the assam association held in1905,where was the first session of the assam association held in1905?,Guwahati,1890 -- 91,0.0,0.0,0.0,3,2025-07-11T15:35:31.444276
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,663,who played ice queen in chronicles of narnia,who played ice queen in chronicles of narnia?,Tilda Swinton,tilda swinton,1.0,1.0,1.0,2,2025-07-11T15:35:31.907643
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,664,when is season 2 of jessica jones being released,when is season 2 of jessica jones being released?,"March 8, 2018","march 8, 2018",1.0,1.0,1.0,3,2025-07-11T15:35:32.468973
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,665,when was united nations convention on the rights of the child created,when was united nations convention on the rights of the child created?,20 November 1989,1959,0.0,0.0,0.0,1,2025-07-11T15:35:32.645088
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,666,swan lake the sleeping beauty and the nutcracker are three famous ballets by,swan lake the sleeping beauty and the nutcracker are three famous ballets by?,Pyotr Ilyich Tchaikovsky,,0.0,0.0,0.0,0,2025-07-11T15:35:32.900769
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,667,what type of database is library literature and information science,what type of database is library literature and information science?,bibliographic database,bibliographic database,1.0,1.0,1.0,2,2025-07-11T15:35:33.332535
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,668,when did the united states start using the death penalty,when did the united states start using the death penalty?,the beginning,in 1608,0.0,0.0,0.0,2,2025-07-11T15:35:33.879833
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,669,when was coffee first made into a drink,when was coffee first made into a drink?,15th century,1671,0.0,0.0,0.0,1,2025-07-11T15:35:34.078622
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,670,who is jared on the bold and the beautiful,who is jared on the bold and the beautiful?,Andrew Collins,will arnett,0.0,0.0,0.0,2,2025-07-11T15:35:35.190118
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,671,who wrote knock knock knocking on heavens door,who wrote knock knock knocking on heavens door?,Bob Dylan,bob dylan,1.0,1.0,1.0,2,2025-07-11T15:35:35.860266
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,672,when did the movie napoleon dynamite come out,when did the movie napoleon dynamite come out?,"June 11, 2004",2004,0.0,0.5,0.3333333333333333,1,2025-07-11T15:35:36.161939
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,673,who starred in an officer and a gentleman,who starred in an officer and a gentleman?,Richard Gere,debra winger,0.0,0.0,0.0,2,2025-07-11T15:35:36.560412
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,674,who plays chummy's mother in call the midwife,who plays chummy's mother in call the midwife?,Cheryl Campbell,cheryl campbell,1.0,1.0,1.0,2,2025-07-11T15:35:37.134411
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,675,name two fibres which are made of proteins,name two fibres which are made of proteins?,feathers,elastic fibers,0.0,0.0,0.0,2,2025-07-11T15:35:37.299342
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,676,how many super bowl games has the patriots played in,how many super bowl games has the patriots played in?,10,ten,0.0,0.0,0.0,1,2025-07-11T15:35:37.492625
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,677,where do they put the tomb vampires in order to burn them during founders day,where do they put the tomb vampires in order to burn them during founders day?,the Gilbert building,grauman's chinese theatre,0.0,0.0,0.0,3,2025-07-11T15:35:38.139622
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,678,who is the king and queen of the netherlands,who is the king and queen of the netherlands?,Queen Máxima of the Netherlands,willem - alexander,0.0,0.0,0.0,3,2025-07-11T15:35:39.320861
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,679,where is gall bladder situated in human body,where is gall bladder situated in human body?,beneath the liver,connected to the pons,0.0,0.28571428571428575,0.3333333333333333,4,2025-07-11T15:35:39.909958
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,680,what is the current population of bora bora,what is the current population of bora bora?,"10,605","1,089,615",0.0,0.0,0.0,1,2025-07-11T15:35:40.446089
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,681,where does tropic of cancer pass in india,where does tropic of cancer pass in india?,Chhattisgarh,bengaluru ( bengaluru ),0.0,0.0,0.0,4,2025-07-11T15:35:40.759368
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,682,who made the song falling in love with you,who made the song falling in love with you?,Hugo Peretti,elvis presley,0.0,0.0,0.0,2,2025-07-11T15:35:41.542583
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,683,which is produced in plants of narora kakrapar tarapur,which is produced in plants of narora kakrapar tarapur?,Atomic Power,marijuana,0.0,0.0,0.0,1,2025-07-11T15:35:41.723848
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,684,what is the first book of percy jackson,what is the first book of percy jackson?,The Lightning Thief,percy jackson & the olympians,0.0,0.25,0.3333333333333333,5,2025-07-11T15:35:42.360517
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,685,who was originally cast to play indiana jones,who was originally cast to play indiana jones?,Tom Selleck,tom selleck,1.0,1.0,1.0,2,2025-07-11T15:35:43.304583
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,686,what proposition made the insurance commissioner an elected position,what proposition made the insurance commissioner an elected position?,Proposition 103,elected,0.0,0.0,0.0,1,2025-07-11T15:35:43.927762
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,687,who played amy grant i i can only imagine,who played amy grant i i can only imagine?,Nicole DuPort,nicole duport,1.0,1.0,1.0,2,2025-07-11T15:35:44.750236
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,688,who sings the song only in my dreams,who sings the song only in my dreams?,Debbie Gibson,debbie gibson,1.0,1.0,1.0,2,2025-07-11T15:35:45.015846
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,689,who appoints the chair of the federal reserve system,who appoints the chair of the federal reserve system?,President of the United States,president of the united states,1.0,1.0,1.0,5,2025-07-11T15:35:45.645728
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,690,who wins the next iron chef super chefs,who wins the next iron chef super chefs?,Zakarian,jose garces,0.0,0.0,0.0,2,2025-07-11T15:35:45.829704
